"","score","text","Review"
"41",0,"RT @indiramishra1: Deepak Chaurasia confessed himself calling JOURNALISM as ""Mission""-HUB of TRP! #ArrestCHORasia https://t.co/i2cvlE0wC3","Surprise"
"42",0,"Why is the judiciary not so pro-active for  #ArrestCHORasia unlike that in the case of Hindu Saints? https://t.co/BBAxLHTELu","Surprise"
"43",0,"@Ss_9611 @PiyushGoyal Deepak Chaurasia invokes HATRED for Hinduism by targeting Hindu Saints on National TV!SHAME!… https://t.co/FMHrUSb3vR","Surprise"
"44",0,"RT @swati_avhad: @nsitharaman Sir, What enmity does Deepak Chaurasia have against Asaramji that India TV runs defamation campaigns against…","Surprise"
"45",0,"RT @DhananjayPraj15: @abpnewshindi @journoumeshpath Police arrests Saints under the pretext of questioning but cannot #ArrestCHORasia despi…","Surprise"
"46",0,"Behaviour by Chaurasia is Getting Intolerable ! Why he is not Responding to Hon. Court ? #ArrestCHORasia https://t.co/GpXMRVBJHF","Surprise"
"47",0,"RT @BahadurHariom: @RDevdani @nk2srivishnu @JennyLuhana Street Dog Deepak Chaurasia roaming free Delhi Police must stop acting partial &amp; #A…","Surprise"
"48",0,"What enmity does Deepak Chaurasia have against Asaramji that India TV runs defamation campaigns against him?… https://t.co/ULenXGtxVo","Surprise"
"49",0,"Respect,Honesty,Reality,Patriotism,Sentiments,Humanity,Pride! Deepak Chaurasia is antonymous to these words #ArrestCHORasia!","Surprise"
"50",0,"RT @biren419: Asaram Bapu Ji's case was pursued with great vengeance and Chaurasia misled the whole nation. #ArrestCHORasia","Surprise"
"51",0,"RT @gauravtinu: #ArrestCHORasia for causing mass hysteria &amp; agitation against Hinduism in the Dadri incidence. https://t.co/7zo6B5uy76","Surprise"
"52",0,"RT @ps9800423: ""#ArrestCHORasia For better &amp; unbiased journalism. https://t.co/eddb9SxavQ""","Surprise"
"53",0,"@saprajapati1 @kiranrajdev @CMOMaharashtra @Dev_Fadnavis UNDOUBTEDLY Deepak Chaurasia is a BIGGEST PAID Reporter-Ow… https://t.co/YiKY6YI9qI","Surprise"
"54",0,"RT @omrajnvi: Hey Deepak Chaurasia, for money will you show bogus news on your parents too? #ArrestCHORasia  https://t.co/XbWG5sf8YH","Surprise"
"55",0,"Despite the lies being exposed, Deepak Chaurasia continues to show fake news #ArrestCHORasia  https://t.co/jybDTn3ofm","Surprise"
"56",0,"RT @Sandp_m4: @deepak_mragwani @CMOMaharashtra @timesofindia Deepak Chaurasia is the stigma of other news channels.  #ArrestCHORasia https:…","Surprise"
"57",0,"@swati_avhad @nsitharaman Bogus Case on Innocent Bapu Ji was shown with fabrications&amp; on Crimes of Deepak Chaurasia no news?!#ArrestCHORasia","Surprise"
"58",0,"RT @Sachinbambhani4: @tsrawatbjp Sir, Deepak Chaurasia &amp; his news channel are irresponsible towards nation.  #ArrestCHORasia https://t.co/o…","Surprise"
"59",0,"RT @dhruvbaghla: @shubhamambil @arrahman Deepak Chaurasia has set an example how journalists can go to any extent for TRP.  #ArrestCHORasia…","Surprise"
"60",0,"In a Major Development, Various Organisations DEMAND #ArrestCHORasia ASAP as Patna Court issues Non-bailable warrant","Surprise"
"61",0,"RT @04philosopher: Why a different treatement to Deepak Chaurasia who is booked under POCSO? #ArrestCHORasia https://t.co/lFUDtDbsEY","Surprise"
"62",0,"@ysssagar Dunce Deepak Chaurasia keeps thrusting false news on everyone. He must be punished. #ArrestCHORasia https://t.co/puCoehZ4HB","Surprise"
"63",0,"RT @sharma6111956: @Shobhadeshmukh3 @ayushmannk Hey Deepak Chaurasia, for money will you show bogus news on your parents too? #ArrestCHORas…","Surprise"
"64",0,"RT @KriSHnA_1052: @IndianDiplomacy Each and every news report is foreign funded. #ArrestCHORasia and save the country. https://t.co/57VWlhr…","Surprise"
"65",0,"RT @sharma6111956: @AamAadmiParty Degeneration of TV news owes a great debt to both Deepak Chaurasia &amp; India news, for their CHEAP news #Ar…","Surprise"
"66",0,"RT @YesKuma03461585: #ArrestCHORasia
Now  interesting to see what stand take place all news channel,s and all media personal and also wait…","Surprise"
"67",0,"Never seen 'Freedom of Press' benefiting people.  #ArrestCHORasia for misusing this freedom.… https://t.co/hYO9Y0C30p","Surprise"
"68",0,"RT @shankerjoshi001: Dunce Deepak Chaurasia keeps thrusting false news on everyone. He must be punished.  #ArrestCHORasia https://t.co/VEej…","Surprise"
"69",0,"Stop the fearless NON-SENSE by the pseudo journalist of PaidMedia Deepak Chaurasia!  #ArrestCHORasia https://t.co/QsMKNpnAyK","Surprise"
"70",0,"RT @rupeshsaigal: Hey Deepak Chaurasia, for money will you show bogus news on your parents too? #ArrestCHORasia  https://t.co/f1voDbBHm8","Surprise"
"71",0,"RT @ImVeshu: Deepak Chaurasia has been booked under POCSO Act for telecasting doctored video. #ArrestCHORasia https://t.co/AgWdqgwFw1","Surprise"
"72",0,"RT @YssAligarh: What enmity does Deepak Chaurasia have against Asaramji that India TV runs defamation campaigns against him? #ArrestCHORasi…","Surprise"
"73",0,"RT @gauravambala1: Deepak Chaurasia is spreading fake news 2 mislead people that Asaramji is given 1 bowl of almonds ! #ArrestCHORasia","Surprise"
"74",0,"RT @swati_avhad: @nsitharaman Sir, What enmity does Deepak Chaurasia have against Asaramji that India TV runs defamation campaigns against…","Surprise"
"75",0,"RT @Ankit_sharmaji: Is Deepak Chaurasia Hiding?  Why NOT appearing in Patna SDJM Court ? #ArrestCHORasia https://t.co/cECm6muWw6","Surprise"
"76",0,"RT @tufani_hindu: Deepak Chaurasia has shamed a pious profession by lying and faking news. #ArrestCHORasia https://t.co/mPB8IvxeTO","Surprise"
"77",0,"@Shobhadeshmukh3 @ayushmannk Hey Deepak Chaurasia, for money will you show bogus news on your parents too?… https://t.co/kkSP0kd0Qp","Surprise"
"78",0,"RT @thawani_soniya: Deepak Chaurasia illegally hires sources 2 target saints n create SENSATIONAL news 2 MISLEAD People! #ArrestCHORasia","Surprise"
"79",0,"#ArrestCHORasia! He's not above the law. He has no integrity and is shameless. https://t.co/RMxUUFZeSO","Surprise"
"80",0,"RT @sharma6111956: @manish373733 @rsprasad @RuPay_npci @_DigitalIndia @GoI_MeitY Deceiving people,
Destroying trusts
Showing Fake reports
W…","Surprise"
"81",0,"RT @shankerjoshi001: Dunce Deepak Chaurasia keeps thrusting false news on everyone. He must be punished.  #ArrestCHORasia https://t.co/VEej…","Surprise"
"82",0,"RT @pramod08575705: Deepak Chaurasia Scared &amp; Missing? Why Not Surrendering to Patna SDJM Court after repeated Summons! #ArrestCHORasia","Surprise"
"83",0,"RT @kiranrajdev: @CMOMaharashtra @Dev_Fadnavis Degeneration of TV news owes a great debt to both Deepak Chaurasia &amp; India news, for their C…","Surprise"
"84",0,"RT @tinushav: INTENTIONALLY Deepak Chaurasia CREATES FABRICATED sensational news to TRAP TRP! #ArrestCHORasia https://t.co/zZZFiEbaVh","Surprise"
"85",0,"Deepak Chaurasia illegally hires sources 2 target saints n create SENSATIONAL news 2 MISLEAD People! #ArrestCHORasia","Surprise"
"86",0,"Just because Chaurasia is a journalist, will he not be booked under IPC for spreading hatred? #ArrestCHORasia https://t.co/p30Y3HMS9w","Surprise"
"87",0,"RT @AshramOrg: Deepak Chaurasia is intentionally spreading the false propaganda to malign HINDU saints! #ArrestCHORasia https://t.co/8Re4TM…","Surprise"
"88",0,"RT @sharma6111956: @YuvrajP70879924 @04philosopher @smritiirani @AmitShah #ArrestCHORasia and BAN his Channel !
STOP their SHAMELESS work &amp;…","Surprise"
"89",0,"RT @Nikhilk239: Deepak Chaurasia, active in mud slinging, specializes in fabricating stories for TRP. #ArrestCHORasia https://t.co/66kqdSBj…","Surprise"
"90",0,"RT @shankerjoshi001: How much money Deepak Chaurasia got to defame Hinduism?  #ArrestCHORasia https://t.co/0uQAYF2Fda","Surprise"
"91",0,"RT @kiranrajdev: @CMOMaharashtra @Dev_Fadnavis Good step Sir , bt u know Deepak Chaurasia is the stigma of other news channels.  #ArrestCHO…","Surprise"
"92",0,"RT @ssharmashp11: For money will Deepak Chaurasia sell his family too? #ArrestCHORasia https://t.co/kq0cTSySme","Surprise"
"93",0,"Anti-social reporter with anti-social icon! This title goes to Deepak Chaurasia! #ArrestCHORasia https://t.co/LPiOKeUXPa","Surprise"
"94",0,"RT @BahadurHariom: @pramod08575705 Deepak Chaurasia is a pest. He is destroying the 4th pillar of Indian Democracy. #ArrestCHORasia 
@amits…","Surprise"
"95",0,"RT @ImVeshu: Only a Hindu Saint should be in jail. Journalists can roam free despite numerous police complaints, isn't it?  #ArrestCHORasia","Surprise"
"96",0,"#ArrestCHORasia! He's a terrorist sympathiser. He's against India. He's against Hindutva. https://t.co/AVlG3lwK4T","Surprise"
"97",0,"RT @MohiniS20131066: @purohit_shilpa @ChouhanShivraj Deepak Chaurasia is an incorrigible liar. So don't believe him! #ArrestCHORasia https:…","Surprise"
"98",0,"RT @dhruvbaghla: @kiranrajdev @atulkasbekar Deepak Chaurasia has set an example how journalists can go to any extent for TRP.  #ArrestCHORa…","Surprise"
"99",-2,"RT @s_nisha7: @acs_59 @ReutersIndia #ArrestCHORasia soon. He's sure to cause havoc if he's let loose. He's a criminal. https://t.co/bL88BIW…","Sadness"
"100",0,"RT @04philosopher: @smritiirani @AmitShah Ma'am that's appreciable!
But when will Paid Media houses mend their ways?
The 'Paid News' evil w…","Surprise"
"101",0,"RT @Sachinbambhani4: @INCIndia #ArrestCHORasia and BAN his Channel !
DROP their SHAMELESS work &amp; Save Nation's Integrity! https://t.co/ekce…","Surprise"
"102",0,"@ysssagar UNDOUBTEDLY Deepak Chaurasia is a BIGGEST PAID Reporter-Owner of Rs.500 Crore! #ArrestCHORasia https://t.co/TODQ3ZyVJq","Surprise"
"103",0,"@deepak_hariom @sudhirchaudhary Session court stays Deepak Chaurasia's arrest as a CRIMINAL case is filed against h… https://t.co/47dPAl71in","Surprise"
"104",0,"RT @acs_59: @ReutersIndia INDIA'S NEWS Anchor Deepak Chaurasia of India TV confesses himself that ""Media Manipulates News 4 Money""! #Arrest…","Surprise"
"105",0,"RT @tinushav: Hindu Sangathan to Go for Protest on NO ACTION on Non-bailable Warrant at Jantar Mantar on July 10 #ArrestCHORasia","Surprise"
"106",0,"Expert of Fakology in his news channel
#ArrestCHORasia !
For creating sensational news he can go to the cheapest level.","Surprise"
"107",0,"@rawat_narayan @narendramodi @PMOIndia @rajnathsingh @HMOIndia @myogiadityanath @DelhiPolice @Uppolice @noidapolice… https://t.co/FvJmwlQvIO","Surprise"
"108",0,"RT @sharma6111956: @thekiranbedi @AshwaniKumar_92 @PMOIndia @rashtrapatibhvn @DrJitendraSingh @KirenRijiju @PTI_News @IAS_Agmut @IPS_Associ…","Surprise"
"109",0,"RT @Soham47398382: @AnitaHarwani2 @AnjanaS17532387 @BJP4UP @myogiadityanath @DrMNPandeyMP @kpmaurya1 @drdineshbjp We are tolerating a crimi…","Surprise"
"110",0,"RT @indiramishra1: many Innocents are in jail while 15 cases &amp; 8 FIRs issued to Deepak Chaurasia, &amp; Still Roaming Free!! #ArrestCHORasia","Surprise"
"111",0,"RT @Soham47398382: @RDevdani @nk2srivishnu @JennyLuhana Just because Chaurasia is a journalist, will he not be booked under IPC for spreadi…","Surprise"
"112",0,"@imviraj_7 Deepak Chaurasia has been booked under POCSO Act for telecasting doctored video.  #ArrestCHORasia https://t.co/KdG6vrqizn","Surprise"
"113",0,"RT @kalagirsa: He learned journalism Tactics from Punya Prasun bajpai? #ArrestCHORasia","Surprise"
"114",0,"RT @Sandp_m4: @BhorShobha @Kunal1Kale Deepak Chaurasia &amp; his news channel are irresponsible towards nation. #ArrestCHORasia https://t.co/fc…","Surprise"
"115",0,"RT @sharma6111956: @TheFarahKhan Mam Never seen 'Freedom of Press' benefiting people. #ArrestCHORasia for misusing this freedom. https://t.…","Surprise"
"116",0,"RT @tufani_hindu: Expert of Fakology in his news channel
#ArrestCHORasia !
For creating sensational news he can go to the cheapest level.","Surprise"
"117",0,"RT @AnjanaAgrawal6: @MohiniS20131066 @INCIndia Degeneration of TV news owes a great debt to both Deepak Chaurasia &amp; India news, for their C…","Surprise"
"118",0,"RT @gauravhariom: Nation Erupts against Unethical Journalism by Deepak Chourasia ! Demands for #ArrestCHORasia at Jantar Mantar","Surprise"
"119",0,"Deepak Chaurasia is a miscreant. He shouldn't be allowed to roam free on the streets or sit in the studios. #ArrestCHORasia","Surprise"
"120",0,"Bhola confessed he did say wrong for Asaram Bapu Ji bt only under pressure of Deepak Chaurasia. #ArrestCHORasia","Surprise"
"121",0,"RT @04philosopher: India News &amp; Chaurasia are the glaring example where journalism stoops to its lowest point of compromise.  #ArrestCHORas…","Surprise"
"122",0,"Deepak Chaurasia is spreading fake news 2 mislead people that Asaramji is given 1 bowl of almonds !  #ArrestCHORasia","Surprise"
"123",0,"RT @BahadurHariom: Deepak Chaurasia's coverage is really getting out of control.  #ArrestCHORasia  https://t.co/LyI68FRXCE https://t.co/JtW…","Surprise"
"124",0,"RT @s_nisha7: @AshramOrg When Hindu Saints were framed in Bogus Cases instead of showing truth this liar-in-chief defamed them
#ArrestCHORa…","Surprise"
"125",0,"@Sandeep441kal @narendramodi_in @narendramodi Police arrests Saints under the pretext of questioning but cannot… https://t.co/w3VtirvVOn","Surprise"
"126",0,"RT @AnjanaS17532387: @BJP4UP @myogiadityanath @DrMNPandeyMP @kpmaurya1 @drdineshbjp FAKE STORIES,
FAKE CASES,
FAKE NEWS!

SHAME on Deepak C…","Surprise"
"127",0,"No Outrage in Media against Deepak Chaurasia even after a POCSO case registered against him! #ArrestCHORasia","Surprise"
"128",0,"RT @tinushav: INTENTIONALLY Deepak Chaurasia CREATES FABRICATED sensational news to TRAP TRP! #ArrestCHORasia https://t.co/zZZFiEbaVh","Surprise"
"129",0,"RT @Liladhariprasad: Respect,Honesty,Reality,Patriotism,Sentiments,Humanity,Pride! Deepak Chaurasia is antonymous to these words #ArrestCHO…","Surprise"
