bad	-Bigram(too_@)	10211.5839174846	207.684660048674
sore	Bigram(@_throat)	7881.54484220216	32.861431528889
miss	-Bigram(gonna_@)	7523.03308687797	49.5588656874581
fall	Bigram(@_asleep)	5516.85574849451	747.796904416773
fell	Bigram(@_asleep)	4484.99680150862	493.519448711934
sucks	-Bigram(that_@)	3948.75688600247	14.7627762708424
hurts	-Bigram(tummy_@)	3860.42150231416	5.04289583319439
hurts	-Bigram(head_@)	3682.55115042098	37.452176467611
hurts	-Bigram(throat_@)	2769.60619450923	3.99247417271449
ache	-Bigram(tummy_@)	2690.3493552535	8.82582792828803
bad	Bigram(@_news)	2569.42154247381	12.9388196719825
wrong	-Bigram(whats_@)	2373.64518081811	14.1670860420283
poor	Bigram(@_baby)	2305.1645354131615	0
stuck	Bigram(@_inside)	2277.42979283211	12.8004007878735
bad	Bigram(@_times)	2124.63234138791	4.17474874198813
ache	-Bigram(stomach_@)	2028.96345877364	3.4230057115516
hurts	-Bigram(stomach_@)	1974.87206165549	5.19229423739914
hurt	-Bigram(feet_@)	1949.47291229691	31.8234189144796
sad	Bigram(@_face)	1870.81424107537	4.65722762748922
infection	-Bigram(ear_@)	1779.94098927243	1.18733475110869
falling	Bigram(@_asleep)	1628.33203548591	375.121986250331
bad	Bigram(@_mood)	1527.39931182896	27.9431993242052
crashing	-Bigram(keeps_@)	1394.69086875463	0.0610672683948031
sucks	-Bigram(it_@)	1390.81523150781	9.87254793016661
cry	-Bigram(wanna_@)	1388.70052659139	2.08123393626576
poor	Bigram(@_little)	1376.96866334282	8.91976705474459
sad	-Bigram(very_@)	1360.27255566024	0.148953392266173
tired	-Bigram(sooo_@)	1349.71999517019	95.3762826087843
sad	-Bigram(kinda_@)	1316.73165276829	13.3843373053099
sucks	-Bigram(This_@)	1262.63922352728	0.393399089192958
lost	-Bigram('ve_@)	1172.89244264008	48.0036044244684
cry	-Bigram(gonna_@)	1162.58428139925	4.61274350185452
hard	Bigram(@_drive)	1117.9057493271	90.7624021279364
fall	Bigram(@_asleep.)	1114.42674751324	130.480555816325
hate	Bigram(@_having)	1114.12482856935	0.433217373067859
blah	Bigram(@_blah)	1112.12095893124	319.009861050024
falling	Bigram(@_apart)	1101.03968196342	9.81097247987066
blah	-Bigram(blah_@)	1092.53194067992	314.871473855373
miss	Bigram(@_everyone)	1081.9883370607663	0
fail	-Bigram(epic_@)	1071.97441699237	32.8767069084151
ache	-Bigram(head_@)	1037.11252359178	14.7263478742712
worst	Bigram(@_part)	1022.31373952178	6.96408427874378
gossip	Bigram(@_girl)	1018.413593048637	0
sad	-Bigram(how_@)	975.685984099618	2.34758127786332
sad	Bigram(@_panda)	972.6615734947148	0
hurts	-Bigram(it_@)	969.913148135271	0.623226492342106
bad	-Bigram(...too_@)	947.887459590017	2.34867021318806
bad	Bigram(@_headache)	939.275110843917	2.0403081292319
miss	-Bigram(gonna_@)	912.89966968288	2.87053640207805
sad	Bigram(@_times)	903.368058344153	0.614337333178941
aches	-Bigram(body_@)	890.515320448571	9.44561067878734
allergic	Bigram(@_reaction)	844.346901014984	4.19499037279034
fever	-Bigram(hay_@)	832.085167610841	8.26542631953521
worst	Bigram(@_headache)	805.584298114614	3.42480868923489
headache	-Bigram(massive_@)	803.280296444787	7.56900777149287
headache	-Bigram(worst_@)	802.181143366923	3.41166961920896
infection	-Bigram(sinus_@)	796.967649572647	20.3665299447378
hate	Bigram(@_waking)	793.958493765796	2.03497041448617
tired	-Bigram(soo_@)	793.359612951638	66.0049301339476
hurt	-Bigram(teeth_@)	789.701826332516	5.76204963490507
bad	-Bigram(sooo_@)	788.462967674325	6.66366836597742
stuffy	Bigram(@_nose)	776.465112177761	1.4827351886586
bad	-Bigram(pretty_@)	773.4781812118539	0
bad	Bigram(@_dream)	772.440751874596	1.43151338018054
sad	Bigram(@_news)	758.903713430973	0.353492565741334
sorry	-Bigram(Im_@)	748.369405008821	12.1218187085176
sad	-Bigram(sooo_@)	744.503340808332	1.26269802683149
bad	-Bigram(real_@)	740.4038593737693	0
hurt	-Bigram(eyes_@)	733.481222829944	10.9097797727938
die	-Bigram(gonna_@)	728.507572782883	22.8190358706431
burn	-Bigram(sun_@)	723.908672497678	25.1920794175922
sad	-Bigram(soo_@)	721.889594136288	0.197485662463944
tired	-Bigram(soooo_@)	718.238766338536	88.3751528226963
bug	Bigram(@_bites)	714.531524234805	1.40915072529039
miss	Bigram(@_ya)	711.6625173269723	0
poor	Bigram(@_guy)	685.997448018075	14.3430072803377
hurt	-Bigram(legs_@)	679.115063527008	19.6497792464089
suck	-Bigram(gonna_@)	678.712749309317	2.76241587693954
headache	-Bigram(major_@)	665.358368780575	2.24255187446668
break	-Bigram(spring_@)	653.950608739017	56.3672985292376
jam	-Bigram(traffic_@)	638.615508179685	17.7360793460051
crap	-Bigram(Holy_@)	622.554794380508	246.604218129502
tired	-Bigram(super_@)	622.458317035953	120.299893550833
stuck	Bigram(@_indoors)	612.872426552392	3.27763224218139
hurts	-Bigram(neck_@)	605.473842095348	7.98560839963933
shit	-Bigram(Holy_@)	597.023944048061	77.7628938002999
miss	Bigram(@_those)	594.49073315905	10.7169198690214
hurts	-Bigram(body_@)	590.976038413876	12.5928577930945
attack	-Bigram(heart_@)	590.972172487929	149.982698377748
emergency	Bigram(@_room)	581.446053980868	1.08941766303963
panic	Bigram(@_attack)	580.69025341207	19.0204336697259
attack	-Bigram(panic_@)	580.237442486201	18.9985479541105
alarm	Bigram(@_clock)	564.814567067241	180.289537101762
killer	Bigram(@_headache)	562.541144769591	13.0533155923358
headache	-Bigram(killer_@)	560.750040289554	13.0097421458212
fuck	Bigram(@_fuck)	547.858572808648	57.2890714204631
