"","score","text","Review"
"1",0,"Deepak Chaurasia, active in mud slinging, specializes in fabricating stories for TRP. #ArrestCHORasia https://t.co/YqALMMu3Mb","Surprise"
"2",2,"Never seen 'Freedom of Press' benefiting people. #ArrestCHORasia for misusing this freedom. https://t.co/IIKjehb6ZT","Happy"
"3",0,"@kiranrajdev @CMOMaharashtra @Dev_Fadnavis No proof, no evidence and no fact. Still Chaurasia had spread multiple r… https://t.co/uU4APH1u7v","Surprise"
"4",-2,"RT @jp66957: @Ss_9611 @PiyushGoyal Degeneration of TV news owes a great debt to both Deepak Chaurasia &amp; India news, for their CHEAP news  #…","Sadness"
"5",-1,"RT @deepak_mragwani: @CMOMaharashtra @timesofindia Sir, Deepak Chaurasia is the stigma of other news channels.  #ArrestCHORasia https://t.c…","Sadness"
"6",-1,"@YssGzb @MUMGzb @vandana_7 @AshramGzb @AsaramBapuJi @narendramodi @PMOIndia FAKE STORIES,
FAKE CASES,
FAKE NEWS!

S… https://t.co/slVPWRXfDj","Sadness"
"7",0,"RT @kiranrajdev: @CMOMaharashtra @Dev_Fadnavis Good step Sir , bt u know Deepak Chaurasia is the stigma of other news channels.  #ArrestCHO…","Surprise"
"8",0,"@ShankarJio @AmitShah @BJP4India @BJP4Karnataka @BSYBJP For money will Deepak Chaurasia sell his family too?… https://t.co/C1XrjdkDZF","Surprise"
"9",0,"RT @MohiniS20131066: @NishaSi48281072 @cricketaakash Deepak Chaurasia confessed himself calling JOURNALISM as Mission-HUB of TRP! #ArrestCH…","Surprise"
"10",-1,"RT @rawat_narayan: POCSO act calls for immediate arrest of the accused!Then whats DELAYING Deepak Chaurasia's arrest? #ArrestCHORasia
@nare…","Sadness"
"11",-1,"@MUMGzb @AshramGzb @AsaramBapuJi @narendramodi For money Deepak Chaurasia will even defame the nation?… https://t.co/KuaCVp2bhk","Sadness"
"12",0,"RT @pramod08575705: Journalist is a technical term.
PaidMedia, presstitutes etc are coined to define Deepak Chaurasia et al. #ArrestCHORasi…","Surprise"
"13",0,"RT @YssHyderabad: @YssHeadOffice @AsaramBapuJi @yssambala @ChouriyaSubh @Eternal_Hindu @tikesh_verma @YSS_jamshedpur @HDLYoddha @shankerjos…","Surprise"
"14",-1,"RT @tufani_hindu: Media MORONS like Deepak Chaurasia are playing with viewers sentiments by CURBING HINDUISM! SHAME! #ArrestCHORasia","Sadness"
"15",-2,"Dunce Deepak Chaurasia keeps thrusting false news on everyone. He must be punished. #ArrestCHORasia https://t.co/YqALMMu3Mb","Sadness"
"16",0,"Best thing one could possibly do is to stop watching Deepak Chaurasia. #ArrestCHORasia for misleading the nation.","Surprise"
"17",0,"RT @shankerjoshi001: Why illegal son of paid news channel Deepak Chaurasia roaming free inspite of serious crimes ?
#ArrestCHORasia","Surprise"
"18",0,"RT @pramod08575705: @SriSri @Yale @susancain PAID media WORKS by adopting ATROCIOUS ways - Exposed by Deepak Chaurasia himself! #ArrestCHOR…","Surprise"
"19",-1,"@swati_avhad @nsitharaman Session court stays Deepak Chaurasia's arrest as a CRIMINAL case is filed against him!… https://t.co/vq6msMkO3D","Sadness"
"20",0,"RT @ShankarJio: @AmitShah @BJP4India @BJP4Karnataka @BSYBJP Sir,
PAID media WORKS by adopting ATROCIOUS ways -Exposed by Deepak Chaurasia h…","Surprise"
"21",0,"Each and every news report is foreign funded. #ArrestCHORasia and save the country. https://t.co/lEhZOoY6UW","Surprise"
"22",-2,"Dunce Deepak Chaurasia keeps thrusting false news on everyone. He must be punished. #ArrestCHORasia https://t.co/puCoehZ4HB","Sadness"
"23",0,"RT @biren419: Fraudster Deepak Chaurasia created unrelated facts against innocent Asaram Bapu Ji
#ArrestCHORasia the proven culprit!","Surprise"
"24",-3,"Deepak Chaurasia is intentionally spreading the false propaganda to malign HINDU saints! #ArrestCHORasia https://t.co/GpXMRVBJHF","Anger"
"25",-1,"RT @Soham47398382: @Womens_Day_2018 We are tolerating a criminal journalist &amp; the police is not arresting him. How far is that justified? #…","Sadness"
"26",-2,"RT @kiranrajdev: @atulkasbekar Good theory for weight loss atul ,bt u know Deepak Chaurasia is totally insensitive and irresponsible journa…","Sadness"
"27",0,"RT @Ss_9611: @PiyushGoyal Sir, 
INDIA NEWS Agent Deepak Chaurasia himself confesses the FACT that Media 'BIKTA hai'!  #ArrestCHORasia https…","Surprise"
"28",-1,"Chaurasia is the biggest anti-national. Can't show Army's brave work, just lie on useless issues. #ArrestCHORasia","Sadness"
"29",-1,"Dear Deepak Chaurasia, mend your ways &amp; surrender before the court. #ArrestCHORasia to give justice to people.","Sadness"
"30",-1,"@Gajendr28371234 @nsitharaman Deepak Chaurasia is a pest. He is destroying the 4th pillar of Indian Democracy.… https://t.co/B8vrv843re","Sadness"
"31",0,"RT @pramod08575705: @SriSri @Yale @susancain PAID media WORKS by adopting ATROCIOUS ways - Exposed by Deepak Chaurasia himself! #ArrestCHOR…","Surprise"
"32",-2,"RT @ps12352: @RubikaLiyaquat Mam, Arrest warrants also won't harm you if you are Deepak Chaurasia. Isn't it shameful?  #ArrestCHORasia http…","Sadness"
"33",-2,"@anupamkpandey @actormadhavan
What enmity does Deepak Chaurasia have against Asaramji that India TV runs defamation… https://t.co/7YYxceKbXI","Sadness"
"34",2,"This is not freedom of press. This is freedom of�purse. #ArrestCHORasia - Deepak Chaurasia. https://t.co/RCYF4f4fIv","Happy"
"35",-1,"RT @pramod08575705: Deepak Chaurasia Scared &amp; Missing? Why Not Surrendering to Patna SDJM Court after repeated Summons! #ArrestCHORasia","Sadness"
"36",0,"RT @Nikhilk239: Deepak Chaurasia guy defaming entire community!  #ArrestCHORasia  https://t.co/QsMKNpnAyK","Surprise"
"37",-1,"The 'PaidNews' evil was formally recognised by PCI itself in the honour of Deepak Chaurasia! #ArrestCHORasia https://t.co/xbioIc5Gjk","Sadness"
"38",0,"RT @Ankit_sharmaji: PAID Media goons like Deepak Chaurasia had preplanned how to MISUSE BholaNand to frame Asaram Bapuji #ArrestCHORasia ht…","Surprise"
"39",-1,"RT @JennyLuhana: Deepak Chaurasia invokes HATRED for Hinduism by targeting Hindu Saints on National TV!SHAME! #ArrestCHORasia https://t.co/…","Sadness"
"40",2,"RT @sharma6111956: @TheFarahKhan Mam Never seen 'Freedom of Press' benefiting people. #ArrestCHORasia for misusing this freedom. https://t.…","Happy"
"41",0,"RT @indiramishra1: Deepak Chaurasia confessed himself calling JOURNALISM as ""Mission""-HUB of TRP! #ArrestCHORasia https://t.co/i2cvlE0wC3","Surprise"
"42",1,"Why is the judiciary not so pro-active for  #ArrestCHORasia unlike that in the case of Hindu Saints? https://t.co/BBAxLHTELu","Happy"
"43",-1,"@Ss_9611 @PiyushGoyal Deepak Chaurasia invokes HATRED for Hinduism by targeting Hindu Saints on National TV!SHAME!… https://t.co/FMHrUSb3vR","Sadness"
"44",-2,"RT @swati_avhad: @nsitharaman Sir, What enmity does Deepak Chaurasia have against Asaramji that India TV runs defamation campaigns against…","Sadness"
"45",0,"RT @DhananjayPraj15: @abpnewshindi @journoumeshpath Police arrests Saints under the pretext of questioning but cannot #ArrestCHORasia despi…","Surprise"
"46",-1,"Behaviour by Chaurasia is Getting Intolerable ! Why he is not Responding to Hon. Court ? #ArrestCHORasia https://t.co/GpXMRVBJHF","Sadness"
"47",1,"RT @BahadurHariom: @RDevdani @nk2srivishnu @JennyLuhana Street Dog Deepak Chaurasia roaming free Delhi Police must stop acting partial &amp; #A…","Happy"
"48",-2,"What enmity does Deepak Chaurasia have against Asaramji that India TV runs defamation campaigns against him?… https://t.co/ULenXGtxVo","Sadness"
"49",0,"Respect,Honesty,Reality,Patriotism,Sentiments,Humanity,Pride! Deepak Chaurasia is antonymous to these words #ArrestCHORasia!","Surprise"
"50",0,"RT @biren419: Asaram Bapu Ji's case was pursued with great vengeance and Chaurasia misled the whole nation. #ArrestCHORasia","Surprise"
"51",-1,"RT @gauravtinu: #ArrestCHORasia for causing mass hysteria &amp; agitation against Hinduism in the Dadri incidence. https://t.co/7zo6B5uy76","Sadness"
"52",2,"RT @ps9800423: ""#ArrestCHORasia For better &amp; unbiased journalism. https://t.co/eddb9SxavQ""","Happy"
"53",0,"@saprajapati1 @kiranrajdev @CMOMaharashtra @Dev_Fadnavis UNDOUBTEDLY Deepak Chaurasia is a BIGGEST PAID Reporter-Ow… https://t.co/YiKY6YI9qI","Surprise"
"54",-1,"RT @omrajnvi: Hey Deepak Chaurasia, for money will you show bogus news on your parents too? #ArrestCHORasia  https://t.co/XbWG5sf8YH","Sadness"
"55",-2,"Despite the lies being exposed, Deepak Chaurasia continues to show fake news #ArrestCHORasia  https://t.co/jybDTn3ofm","Sadness"
"56",-1,"RT @Sandp_m4: @deepak_mragwani @CMOMaharashtra @timesofindia Deepak Chaurasia is the stigma of other news channels.  #ArrestCHORasia https:…","Sadness"
"57",-1,"@swati_avhad @nsitharaman Bogus Case on Innocent Bapu Ji was shown with fabrications&amp; on Crimes of Deepak Chaurasia no news?!#ArrestCHORasia","Sadness"
"58",-1,"RT @Sachinbambhani4: @tsrawatbjp Sir, Deepak Chaurasia &amp; his news channel are irresponsible towards nation.  #ArrestCHORasia https://t.co/o…","Sadness"
"59",0,"RT @dhruvbaghla: @shubhamambil @arrahman Deepak Chaurasia has set an example how journalists can go to any extent for TRP.  #ArrestCHORasia…","Surprise"
"60",-1,"In a Major Development, Various Organisations DEMAND #ArrestCHORasia ASAP as Patna Court issues Non-bailable warrant","Sadness"
"61",0,"RT @04philosopher: Why a different treatement to Deepak Chaurasia who is booked under POCSO? #ArrestCHORasia https://t.co/lFUDtDbsEY","Surprise"
"62",-2,"@ysssagar Dunce Deepak Chaurasia keeps thrusting false news on everyone. He must be punished. #ArrestCHORasia https://t.co/puCoehZ4HB","Sadness"
"63",-1,"RT @sharma6111956: @Shobhadeshmukh3 @ayushmannk Hey Deepak Chaurasia, for money will you show bogus news on your parents too? #ArrestCHORas…","Sadness"
"64",0,"RT @KriSHnA_1052: @IndianDiplomacy Each and every news report is foreign funded. #ArrestCHORasia and save the country. https://t.co/57VWlhr…","Surprise"
"65",-2,"RT @sharma6111956: @AamAadmiParty Degeneration of TV news owes a great debt to both Deepak Chaurasia &amp; India news, for their CHEAP news #Ar…","Sadness"
"66",0,"RT @YesKuma03461585: #ArrestCHORasia
Now  interesting to see what stand take place all news channel,s and all media personal and also wait…","Surprise"
"67",2,"Never seen 'Freedom of Press' benefiting people.  #ArrestCHORasia for misusing this freedom.… https://t.co/hYO9Y0C30p","Happy"
"68",-2,"RT @shankerjoshi001: Dunce Deepak Chaurasia keeps thrusting false news on everyone. He must be punished.  #ArrestCHORasia https://t.co/VEej…","Sadness"
"69",0,"Stop the fearless NON-SENSE by the pseudo journalist of PaidMedia Deepak Chaurasia!  #ArrestCHORasia https://t.co/QsMKNpnAyK","Surprise"
"70",-1,"RT @rupeshsaigal: Hey Deepak Chaurasia, for money will you show bogus news on your parents too? #ArrestCHORasia  https://t.co/f1voDbBHm8","Sadness"
"71",0,"RT @ImVeshu: Deepak Chaurasia has been booked under POCSO Act for telecasting doctored video. #ArrestCHORasia https://t.co/AgWdqgwFw1","Surprise"
"72",-2,"RT @YssAligarh: What enmity does Deepak Chaurasia have against Asaramji that India TV runs defamation campaigns against him? #ArrestCHORasi…","Sadness"
"73",-2,"RT @gauravambala1: Deepak Chaurasia is spreading fake news 2 mislead people that Asaramji is given 1 bowl of almonds ! #ArrestCHORasia","Sadness"
"74",-2,"RT @swati_avhad: @nsitharaman Sir, What enmity does Deepak Chaurasia have against Asaramji that India TV runs defamation campaigns against…","Sadness"
"75",0,"RT @Ankit_sharmaji: Is Deepak Chaurasia Hiding?  Why NOT appearing in Patna SDJM Court ? #ArrestCHORasia https://t.co/cECm6muWw6","Surprise"
"76",-1,"RT @tufani_hindu: Deepak Chaurasia has shamed a pious profession by lying and faking news. #ArrestCHORasia https://t.co/mPB8IvxeTO","Sadness"
"77",-1,"@Shobhadeshmukh3 @ayushmannk Hey Deepak Chaurasia, for money will you show bogus news on your parents too?… https://t.co/kkSP0kd0Qp","Sadness"
"78",-1,"RT @thawani_soniya: Deepak Chaurasia illegally hires sources 2 target saints n create SENSATIONAL news 2 MISLEAD People! #ArrestCHORasia","Sadness"
"79",-1,"#ArrestCHORasia! He's not above the law. He has no integrity and is shameless. https://t.co/RMxUUFZeSO","Sadness"
"80",-2,"RT @sharma6111956: @manish373733 @rsprasad @RuPay_npci @_DigitalIndia @GoI_MeitY Deceiving people,
Destroying trusts
Showing Fake reports
W…","Sadness"
"81",-2,"RT @shankerjoshi001: Dunce Deepak Chaurasia keeps thrusting false news on everyone. He must be punished.  #ArrestCHORasia https://t.co/VEej…","Sadness"
"82",-1,"RT @pramod08575705: Deepak Chaurasia Scared &amp; Missing? Why Not Surrendering to Patna SDJM Court after repeated Summons! #ArrestCHORasia","Sadness"
"83",-1,"RT @kiranrajdev: @CMOMaharashtra @Dev_Fadnavis Degeneration of TV news owes a great debt to both Deepak Chaurasia &amp; India news, for their C…","Sadness"
"84",0,"RT @tinushav: INTENTIONALLY Deepak Chaurasia CREATES FABRICATED sensational news to TRAP TRP! #ArrestCHORasia https://t.co/zZZFiEbaVh","Surprise"
"85",-1,"Deepak Chaurasia illegally hires sources 2 target saints n create SENSATIONAL news 2 MISLEAD People! #ArrestCHORasia","Sadness"
"86",-1,"Just because Chaurasia is a journalist, will he not be booked under IPC for spreading hatred? #ArrestCHORasia https://t.co/p30Y3HMS9w","Sadness"
"87",-3,"RT @AshramOrg: Deepak Chaurasia is intentionally spreading the false propaganda to malign HINDU saints! #ArrestCHORasia https://t.co/8Re4TM…","Anger"
"88",0,"RT @sharma6111956: @YuvrajP70879924 @04philosopher @smritiirani @AmitShah #ArrestCHORasia and BAN his Channel !
STOP their SHAMELESS work &amp;…","Surprise"
"89",0,"RT @Nikhilk239: Deepak Chaurasia, active in mud slinging, specializes in fabricating stories for TRP. #ArrestCHORasia https://t.co/66kqdSBj…","Surprise"
"90",-1,"RT @shankerjoshi001: How much money Deepak Chaurasia got to defame Hinduism?  #ArrestCHORasia https://t.co/0uQAYF2Fda","Sadness"
"91",0,"RT @kiranrajdev: @CMOMaharashtra @Dev_Fadnavis Good step Sir , bt u know Deepak Chaurasia is the stigma of other news channels.  #ArrestCHO…","Surprise"
"92",0,"RT @ssharmashp11: For money will Deepak Chaurasia sell his family too? #ArrestCHORasia https://t.co/kq0cTSySme","Surprise"
"93",0,"Anti-social reporter with anti-social icon! This title goes to Deepak Chaurasia! #ArrestCHORasia https://t.co/LPiOKeUXPa","Surprise"
"94",-1,"RT @BahadurHariom: @pramod08575705 Deepak Chaurasia is a pest. He is destroying the 4th pillar of Indian Democracy. #ArrestCHORasia 
@amits…","Sadness"
"95",1,"RT @ImVeshu: Only a Hindu Saint should be in jail. Journalists can roam free despite numerous police complaints, isn't it?  #ArrestCHORasia","Happy"
